Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,137.524999,-98.79,180.0,top
C10,4.7uF,C_0603_1608Metric,132.714999,-91.835,180.0,top
C11,100nF,C_0603_1608Metric,153.41,-102.660001,180.0,top
C12,1uF,C_0603_1608Metric,131.324999,-93.985,0.0,top
C13,1uF,C_0603_1608Metric,134.749999,-96.460001,-90.0,top
C14,100nF,C_0603_1608Metric,130.569997,-108.359998,-90.0,top
C15,100nF,C_0603_1608Metric,133.319996,-109.11,0.0,top
C16,100nF,C_0603_1608Metric,130.569999,-104.76,90.0,top
C17,100nF,C_0603_1608Metric,140.424999,-120.060001,-90.0,top
C18,22uF,CP_Elec_3x5.3,143.859999,-119.04,90.0,top
C19,100nF,C_0603_1608Metric,147.36,-124.040001,90.0,top
C2,2.2uF,C_0402_1005Metric,148.62,-94.43,0.0,top
C20,C_Polarized_Small,CP_Elec_3x5.3,143.849999,-125.140001,-90.0,top
C21,100nF,C_0603_1608Metric,157.25,-126.25,0.0,top
C22,100nF,C_0402_1005Metric,144.4,-102.22,-90.0,top
C3,4.7uF,C_0603_1608Metric,139.8475,-90.190001,180.0,top
C4,100nF,C_0603_1608Metric,148.085,-92.47,0.0,top
C5,100nF,C_0603_1608Metric,139.847499,-91.79,180.0,top
C6,100nF,C_0603_1608Metric,139.147499,-102.190001,180.0,top
C7,5.6pF,C_0603_1608Metric,138.586103,-106.202128,-90.0,top
C8,5.6pF,C_0603_1608Metric,147.06,-106.170001,-90.0,top
C9,1uF,C_0603_1608Metric,132.69,-86.835,0.0,top
D3,NSR0530HT3G,D_SOD-323,132.07,-84.49,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_JAE_DX07S016JA1R1500,134.774999,-79.322501,180.0,top
J10,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,161.025,-127.305,0.0,top
J11,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,151.339999,-133.8,180.0,top
J2,Micro_SD_Card,microSD_HC_Wuerth_693072010801,149.689999,-81.407501,0.0,top
J3,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,136.329999,-133.8,0.0,top
J5,Conn_01x04_MountingPin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,127.64,-114.04,-90.0,top
J6,Conn_01x04_MountingPin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,159.86,-114.01,90.0,top
J7,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,161.0,-94.65,0.0,top
J8,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,126.5,-94.73,0.0,top
J9,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,126.55,-127.305,0.0,top
R1,5.1k,R_0603_1608Metric,137.364999,-83.87,180.0,top
R2,5.1k,R_0603_1608Metric,128.36,-78.8,-90.0,top
R3,30k,R_0603_1608Metric,140.449999,-124.21,90.0,top
R4,30k,R_0603_1608Metric,147.36,-119.890001,-90.0,top
R5,YC164-JR-0710KL,RESCAXE80P320X160X70-8N,154.25895,-108.457598,-90.0,top
R6,4.7k,R_0603_1608Metric,147.855,-90.86,0.0,top
R7,YC164-JR-0710KL,RESCAXE80P320X160X70-8N,131.425,-100.68,180.0,top
SW1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,156.5,-122.18,90.0,top
SW2,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,131.1,-122.19,90.0,top
U1,STM32H523CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,143.374999,-97.060001,90.0,top
U10,BSS138DW-7-F,SOT363_DIO,154.27395,-105.36,180.0,top
U2,LDL212PV33R,SON50P200X200X80-7N,132.689999,-89.350001,90.0,top
U3,USBLC6-2SC6,SOT-23-6,138.349999,-86.490001,180.0,top
U4,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,153.359999,-97.160707,90.0,top
U5,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,133.569995,-106.109999,-90.0,top
U6,MIC5317-1.8xM5,SOT-23-5,131.874999,-96.472501,0.0,top
U7,BSS138DW-7-F,SOT363_DIO,134.492499,-100.68,90.0,top
U8,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,136.749999,-122.160001,90.0,top
U9,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,151.009999,-121.94,-90.0,top
Y1,25 mHz,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,142.749999,-105.86,180.0,top
